Recording_ID,Species,Latitude,Longitude,Recordist,Date,Source,Month
15283,Pipilo erythrophthalmus,25.72546689,-80.2591454,Peter Paul Kellogg,4/13/50,ML,4
15284,Pipilo erythrophthalmus,30.44168733,-84.28809827,Peter Paul Kellogg,5/18/50,ML,5
15281,Pipilo erythrophthalmus,42.48010502,-76.4499992,Arthur A. Allen,6/12/51,ML,6
22908,Pipilo maculatus,35.7356874,-118.1759163,William R. Fish,6/12/51,ML,6
22909,Pipilo maculatus,35.7356874,-118.1759163,William R. Fish,6/19/51,ML,6
15276,Pipilo erythrophthalmus,42.30735698,-76.48113821,Peter Paul Kellogg,7/15/51,ML,7
22912,Pipilo maculatus,36.37916501,-121.5627471,William R. Fish,4/23/53,ML,4
15278,Pipilo erythrophthalmus,42.48010502,-76.4499992,Robert C. Stein,5/6/53,ML,5
15277,Pipilo erythrophthalmus,41.97143846,-82.5357966,Robert C. Stein,6/11/53,ML,6
22910,Pipilo maculatus,36.37916501,-121.5627471,William R. Fish,4/9/54,ML,4
22911,Pipilo maculatus,36.37916501,-121.5627471,William R. Fish,4/15/54,ML,4
22913,Pipilo maculatus,36.37916501,-121.5627471,William R. Fish,4/16/54,ML,4
67722,Pipilo erythrophthalmus,41.96461487,-82.51855142,William W. H. Gunn,5/16/54,ML,5
15275,Pipilo erythrophthalmus,39.83099248,-104.8664869,Arthur A. Allen,5/18/54,ML,5
67724,Pipilo erythrophthalmus,41.96490383,-82.52017065,William W. H. Gunn,4/28/55,ML,4
67726,Pipilo erythrophthalmus,41.96461487,-82.51855142,William W. H. Gunn,4/30/55,ML,4
67728,Pipilo erythrophthalmus,41.96387642,-82.51932865,William W. H. Gunn,5/31/55,ML,5
15285,Pipilo erythrophthalmus,39.80157303,-83.89507575,Robert C. Stein,4/26/56,ML,4
15287,Pipilo maculatus,21.00879192,-99.19225179,L. Irby Davis,4/21/57,ML,4
15289,Pipilo maculatus,17.09011806,-96.72600002,L. Irby Davis,5/18/57,ML,5
67729,Pipilo erythrophthalmus,44.57776536,-84.06525021,William W. H. Gunn,5/31/57,ML,5
67730,Pipilo erythrophthalmus,44.57776536,-84.06525021,William W. H. Gunn,6/7/58,ML,6
15295,Pipilo maculatus,17.08751717,-96.72619438,L. Irby Davis,6/27/59,ML,6
15340,Pipilo erythrophthalmus,40.13248017,-75.42671435,Robert C. Stein,4/24/60,ML,4
15327,Pipilo erythrophthalmus,32.3333333,-80.6666667,Marian P. McChesney,4/26/60,ML,4
15300,Pipilo erythrophthalmus,42.48010502,-76.4499992,Robert C. Stein,7/5/60,ML,7
15296,Pipilo erythrophthalmus,42.45793016,-76.31829474,Robert C. Stein,7/8/60,ML,7
22914,Pipilo maculatus,38.6752791,-121.1918923,William R. Fish,4/29/61,ML,4
15306,Pipilo maculatus,32.83836645,-108.3582912,Robert C. Stein,5/7/61,ML,5
15328,Pipilo erythrophthalmus,32.4166667,-80.6666667,Marian P. McChesney,5/7/61,ML,5
15307,Pipilo maculatus,32.08292061,-110.7737684,Robert C. Stein,5/15/61,ML,5
15308,Pipilo maculatus,35.10092861,-113.8902914,Robert C. Stein,5/18/61,ML,5
15309,Pipilo maculatus,34.15730734,-117.8380885,Robert C. Stein,5/19/61,ML,5
15313,Pipilo maculatus,17.52829429,-97.34449072,L. Irby Davis,5/28/61,ML,5
15314,Pipilo maculatus,17.52829429,-97.34449072,L. Irby Davis,5/30/61,ML,5
15316,Pipilo maculatus,21.00852203,-99.19235866,L. Irby Davis,6/6/61,ML,6
15310,Pipilo maculatus,39.34664701,-114.7795741,Robert C. Stein,6/8/61,ML,6
15312,Pipilo erythrophthalmus,39.49689395,-79.41928452,Robert C. Stein,6/23/61,ML,6
15302,Pipilo maculatus,48.64590243,-102.0621455,Randolph Little,7/5/61,ML,7
15318,Pipilo erythrophthalmus,38.52319458,-78.39718644,Robert C. Stein,5/9/62,ML,5
15320,Pipilo erythrophthalmus,38.20398563,-80.26662696,Robert C. Stein,5/12/62,ML,5
15326,Pipilo erythrophthalmus,38.61199908,-79.8720708,Robert C. Stein,5/15/62,ML,5
67732,Pipilo maculatus,49.84912046,-125.0962483,William W. H. Gunn,5/24/62,ML,5
15323,Pipilo erythrophthalmus,42.48010502,-76.4499992,Randolph Little,6/20/62,ML,6
15329,Pipilo erythrophthalmus,25.52333673,-80.49524713,Robert C. Stein,4/26/63,ML,4
15333,Pipilo erythrophthalmus,25.9430208,-81.71405373,Robert C. Stein,4/28/63,ML,4
15339,Pipilo erythrophthalmus,42.48066313,-76.44987186,Robert C. Stein,5/24/63,ML,5
15343,Pipilo erythrophthalmus,39.44314167,-82.46125431,Randolph Little,4/12/64,ML,4
15335,Pipilo erythrophthalmus,42.48066313,-76.44987186,Robert C. Stein,5/7/64,ML,5
15336,Pipilo erythrophthalmus,42.30605833,-76.48867268,Robert C. Stein,5/11/64,ML,5
15338,Pipilo erythrophthalmus,42.48066313,-76.44987186,Robert C. Stein,5/12/64,ML,5
22916,Pipilo maculatus,38.32936618,-121.5709405,William R. Fish,4/24/66,ML,4
15347,Pipilo erythrophthalmus,40.37480765,-75.96331033,Jon C. Glase,6/19/66,ML,6
15337,Pipilo erythrophthalmus,42.30652131,-76.48867268,Robert C. Stein,5/11/69,ML,5
67736,Pipilo maculatus,40.585261,-105.0868879,William W. H. Gunn,6/20/70,ML,6
15351,Pipilo erythrophthalmus,32.46919804,-80.71049377,Douglas L. Welch,4/29/71,ML,4
15349,Pipilo erythrophthalmus,42.38899203,-76.6691157,L. Virginia Engelhard,5/29/71,ML,5
27976,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,4/21/72,ML,4
27978,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,4/23/72,ML,4
27982,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,4/28/72,ML,4
27987,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,4/29/72,ML,4
27988,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,4/30/72,ML,4
27997,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/1/72,ML,5
28004,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/2/72,ML,5
28007,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/3/72,ML,5
28008,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/6/72,ML,5
28010,Pipilo erythrophthalmus,40.94704514,-72.67340172,David  Ewert,5/6/72,ML,5
28012,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/7/72,ML,5
28016,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/8/72,ML,5
