Pair,Mean_Residual,T_test_pval,n,Overall_Mean_Residual,Feature,P_value_adj
EASTERN TEMPERATE FORESTS_EASTERN TEMPERATE FORESTS,-0.008622962,1.62875119445294e-17,1279200,2.7781358496055e-16,avg_sylls_upper_freq_Hz,5.92273161619253e-17
EASTERN TEMPERATE FORESTS_GREAT PLAINS,0.051964285,5.09211715069701e-123,184000,2.7781358496055e-16,avg_sylls_upper_freq_Hz,1.0184234301394e-121
EASTERN TEMPERATE FORESTS_NORTHERN FORESTS,-0.000339559,0.882485812,160000,2.7781358496055e-16,avg_sylls_upper_freq_Hz,0.905113653
EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS,-0.020304585,0.00220223,17600,2.7781358496055e-16,avg_sylls_upper_freq_Hz,0.003748476
GREAT PLAINS_GREAT PLAINS,0.152788925,1.27628210201323e-36,6555,2.7781358496055e-16,avg_sylls_upper_freq_Hz,8.50854734675489e-36
GREAT PLAINS_NORTHERN FORESTS,0.009964608,0.222997555,11500,2.7781358496055e-16,avg_sylls_upper_freq_Hz,0.266265738
GREAT PLAINS_TROPICAL WET FORESTS,0.338107105,5.32442281498805e-18,1265,2.7781358496055e-16,avg_sylls_upper_freq_Hz,2.02835154856688e-17
NORTHERN FORESTS_NORTHERN FORESTS,0.017232895,0.158151358,4950,2.7781358496055e-16,avg_sylls_upper_freq_Hz,0.194647825
NORTHERN FORESTS_TROPICAL WET FORESTS,0.226872235,1.87955657351843e-11,1100,2.7781358496055e-16,avg_sylls_upper_freq_Hz,5.01215086271581e-11
TROPICAL WET FORESTS_TROPICAL WET FORESTS,0.037498344,0.772353737,55,2.7781358496055e-16,avg_sylls_upper_freq_Hz,0.823843986
EASTERN TEMPERATE FORESTS_EASTERN TEMPERATE FORESTS,0.013785781,1.30919140695639e-39,1279200,6.51424479933149e-16,avg_sylls_lower_freq_Hz,1.14815844352417e-38
EASTERN TEMPERATE FORESTS_GREAT PLAINS,-0.020693777,4.43601332239352e-23,184000,6.51424479933149e-16,avg_sylls_lower_freq_Hz,2.21800666119676e-22
EASTERN TEMPERATE FORESTS_NORTHERN FORESTS,-0.082576539,0,160000,6.51424479933149e-16,avg_sylls_lower_freq_Hz,0
EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS,0.001593577,0.80057229,17600,6.51424479933149e-16,avg_sylls_lower_freq_Hz,0.837260172
GREAT PLAINS_GREAT PLAINS,0.00968577,0.370373613,6555,6.51424479933149e-16,avg_sylls_lower_freq_Hz,0.429418682
GREAT PLAINS_NORTHERN FORESTS,-0.052324496,6.43331099336178e-12,11500,6.51424479933149e-16,avg_sylls_lower_freq_Hz,1.77470648092739e-11
GREAT PLAINS_TROPICAL WET FORESTS,0.180784907,8.75503457791936e-10,1265,6.51424479933149e-16,avg_sylls_lower_freq_Hz,2.06000813598103e-09
NORTHERN FORESTS_NORTHERN FORESTS,-0.087792688,8.33024453776592e-15,4950,6.51424479933149e-16,avg_sylls_lower_freq_Hz,2.77674817925531e-14
NORTHERN FORESTS_TROPICAL WET FORESTS,0.089510008,0.000973679,1100,6.51424479933149e-16,avg_sylls_lower_freq_Hz,0.001730984
TROPICAL WET FORESTS_TROPICAL WET FORESTS,0.049900136,0.641408069,55,6.51424479933149e-16,avg_sylls_lower_freq_Hz,0.712675632
EASTERN TEMPERATE FORESTS_EASTERN TEMPERATE FORESTS,-0.001591293,0.109761564,1279200,-3.30E-16,max_sylls_freq_Hz,0.139379763
EASTERN TEMPERATE FORESTS_GREAT PLAINS,0.021482739,1.77775378667285e-24,184000,-3.30E-16,max_sylls_freq_Hz,9.48135352892188e-24
EASTERN TEMPERATE FORESTS_NORTHERN FORESTS,-0.006216788,0.004605823,160000,-3.30E-16,max_sylls_freq_Hz,0.007369316
EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS,-0.083951534,1.67215169046844e-39,17600,-3.30E-16,max_sylls_freq_Hz,1.21611032034069e-38
GREAT PLAINS_GREAT PLAINS,0.056992634,2.88270372948064e-07,6555,-3.30E-16,max_sylls_freq_Hz,6.06884995680134e-07
GREAT PLAINS_NORTHERN FORESTS,0.001916139,0.805862915,11500,-3.30E-16,max_sylls_freq_Hz,0.837260172
GREAT PLAINS_TROPICAL WET FORESTS,0.114822286,0.000423915,1265,-3.30E-16,max_sylls_freq_Hz,0.000807457
NORTHERN FORESTS_NORTHERN FORESTS,0.007972405,0.510730788,4950,-3.30E-16,max_sylls_freq_Hz,0.575471311
NORTHERN FORESTS_TROPICAL WET FORESTS,-0.034193332,0.204081457,1100,-3.30E-16,max_sylls_freq_Hz,0.247371463
TROPICAL WET FORESTS_TROPICAL WET FORESTS,0.223064302,0.148968813,55,-3.30E-16,max_sylls_freq_Hz,0.186211016
EASTERN TEMPERATE FORESTS_EASTERN TEMPERATE FORESTS,-0.000939072,0.363129898,1279200,9.48682068083785e-17,min_sylls_freq_Hz,0.427211644
EASTERN TEMPERATE FORESTS_GREAT PLAINS,0.02906433,1.43519805440521e-39,184000,9.48682068083785e-17,min_sylls_freq_Hz,1.14815844352417e-38
EASTERN TEMPERATE FORESTS_NORTHERN FORESTS,-0.032936815,3.39093308445423e-49,160000,9.48682068083785e-17,min_sylls_freq_Hz,3.87535209651912e-48
EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS,0.015240366,0.017047461,17600,9.48682068083785e-17,min_sylls_freq_Hz,0.023926262
GREAT PLAINS_GREAT PLAINS,0.001179764,0.923296021,6555,9.48682068083785e-17,min_sylls_freq_Hz,0.934983312
