Pair,Mean_Residual,T_test_pval,n,Overall_Mean_Residual,Feature,P_value_adj
GREAT PLAINS_GREAT PLAINS,0.056638952,5.57201583169351e-13,11628,-2.89E-16,avg_sylls_upper_freq_Hz,1.06274209240247e-12
GREAT PLAINS_MARINE WEST COAST FOREST,-0.012989893,0.006553968,31671,-2.89E-16,avg_sylls_upper_freq_Hz,0.008540918
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,0.078493449,1.37993611753039e-47,31518,-2.89E-16,avg_sylls_upper_freq_Hz,6.11417848998081e-47
GREAT PLAINS_NORTH AMERICAN DESERTS,0.048333077,5.23832072566539e-16,22338,-2.89E-16,avg_sylls_upper_freq_Hz,1.19733045158066e-15
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,0.040621668,2.06791723999543e-13,25398,-2.89E-16,avg_sylls_upper_freq_Hz,3.99704808804486e-13
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,-0.011483619,0.157817234,13158,-2.89E-16,avg_sylls_upper_freq_Hz,0.173478486
GREAT PLAINS_TEMPERATE SIERRAS,-0.13381958,1.25616352088286e-115,16983,-2.89E-16,avg_sylls_upper_freq_Hz,2.26109433758915e-114
GREAT PLAINS_TROPICAL DRY FORESTS,-0.235764454,6.1598704267208e-40,1530,-2.89E-16,avg_sylls_upper_freq_Hz,2.36539024386079e-39
MARINE WEST COAST FOREST_MARINE WEST COAST FOREST,-0.042792602,8.73653172278385e-14,21321,-2.89E-16,avg_sylls_upper_freq_Hz,1.73525595597362e-13
MARINE WEST COAST FOREST_MEDITERRANEAN CALIFORNIA,0.073828764,1.11477929388825e-55,42642,-2.89E-16,avg_sylls_upper_freq_Hz,5.73315065428241e-55
MARINE WEST COAST FOREST_NORTH AMERICAN DESERTS,0.032440456,1.39056229189017e-10,30222,-2.89E-16,avg_sylls_upper_freq_Hz,2.39809544948723e-10
MARINE WEST COAST FOREST_NORTHWESTERN FORESTED MOUNTAINS,0.023182483,8.77946220601204e-07,34362,-2.89E-16,avg_sylls_upper_freq_Hz,1.29665903350332e-06
MARINE WEST COAST FOREST_SOUTHERN SEMIARID HIGHLANDS,-0.036864411,7.16544314248989e-08,17802,-2.89E-16,avg_sylls_upper_freq_Hz,1.13387232144895e-07
MARINE WEST COAST FOREST_TEMPERATE SIERRAS,-0.13726904,5.82215430232906e-164,22977,-2.89E-16,avg_sylls_upper_freq_Hz,2.39540062724396e-162
MARINE WEST COAST FOREST_TROPICAL DRY FORESTS,-0.093592853,1.70761158676194e-08,2070,-2.89E-16,avg_sylls_upper_freq_Hz,2.71708362976485e-08
MEDITERRANEAN CALIFORNIA_MEDITERRANEAN CALIFORNIA,0.146907837,7.27495649121729e-100,21115,-2.89E-16,avg_sylls_upper_freq_Hz,8.38074987788232e-99
MEDITERRANEAN CALIFORNIA_NORTH AMERICAN DESERTS,0.059808753,8.10801729458779e-31,30076,-2.89E-16,avg_sylls_upper_freq_Hz,2.65353293277419e-30
MEDITERRANEAN CALIFORNIA_NORTHWESTERN FORESTED MOUNTAINS,0.041281275,1.38236444671314e-17,34196,-2.89E-16,avg_sylls_upper_freq_Hz,3.3455542912049e-17
MEDITERRANEAN CALIFORNIA_SOUTHERN SEMIARID HIGHLANDS,-0.048126761,1.35436007357067e-13,17716,-2.89E-16,avg_sylls_upper_freq_Hz,2.65344014413845e-13
MEDITERRANEAN CALIFORNIA_TEMPERATE SIERRAS,-0.099629082,8.08562603328934e-84,22866,-2.89E-16,avg_sylls_upper_freq_Hz,7.05654635632524e-83
MEDITERRANEAN CALIFORNIA_TROPICAL DRY FORESTS,-0.196521699,1.26098871788098e-34,2060,-2.89E-16,avg_sylls_upper_freq_Hz,4.42883842377712e-34
NORTH AMERICAN DESERTS_NORTH AMERICAN DESERTS,0.070233008,9.6454041469416e-16,10585,-2.89E-16,avg_sylls_upper_freq_Hz,2.17021593306186e-15
NORTH AMERICAN DESERTS_NORTHWESTERN FORESTED MOUNTAINS,0.048886912,1.88371387222337e-17,24236,-2.89E-16,avg_sylls_upper_freq_Hz,4.48355037355646e-17
NORTH AMERICAN DESERTS_SOUTHERN SEMIARID HIGHLANDS,-0.049719944,1.78683331186442e-11,12556,-2.89E-16,avg_sylls_upper_freq_Hz,3.19632294296245e-11
NORTH AMERICAN DESERTS_TEMPERATE SIERRAS,-0.101022322,2.09387118542692e-62,16206,-2.89E-16,avg_sylls_upper_freq_Hz,1.28305298170841e-61
NORTH AMERICAN DESERTS_TROPICAL DRY FORESTS,-0.290093088,4.05324486524951e-57,1460,-2.89E-16,avg_sylls_upper_freq_Hz,2.12242640216701e-56
NORTHWESTERN FORESTED MOUNTAINS_NORTHWESTERN FORESTED MOUNTAINS,0.061238796,9.37034471296052e-16,13695,-2.89E-16,avg_sylls_upper_freq_Hz,2.12492856482884e-15
NORTHWESTERN FORESTED MOUNTAINS_SOUTHERN SEMIARID HIGHLANDS,-0.017495165,0.016902161,14276,-2.89E-16,avg_sylls_upper_freq_Hz,0.020802659
NORTHWESTERN FORESTED MOUNTAINS_TEMPERATE SIERRAS,-0.107472019,4.89799707849328e-78,18426,-2.89E-16,avg_sylls_upper_freq_Hz,3.90184366270648e-77
NORTHWESTERN FORESTED MOUNTAINS_TROPICAL DRY FORESTS,-0.114686558,9.0117070064397e-11,1660,-2.89E-16,avg_sylls_upper_freq_Hz,1.56347687822568e-10
SOUTHERN SEMIARID HIGHLANDS_SOUTHERN SEMIARID HIGHLANDS,-0.011182397,0.456958323,3655,-2.89E-16,avg_sylls_upper_freq_Hz,0.473395672
SOUTHERN SEMIARID HIGHLANDS_TEMPERATE SIERRAS,-0.123304631,1.7411121959034e-58,9546,-2.89E-16,avg_sylls_upper_freq_Hz,9.64308293115731e-58
SOUTHERN SEMIARID HIGHLANDS_TROPICAL DRY FORESTS,-0.195810081,1.63214530289062e-14,860,-2.89E-16,avg_sylls_upper_freq_Hz,3.38171113116906e-14
TEMPERATE SIERRAS_TEMPERATE SIERRAS,-0.13524412,4.8860373956164e-43,6105,-2.89E-16,avg_sylls_upper_freq_Hz,2.03938952164859e-42
TEMPERATE SIERRAS_TROPICAL DRY FORESTS,-0.246504288,1.13475613471852e-31,1110,-2.89E-16,avg_sylls_upper_freq_Hz,3.84482078586982e-31
TROPICAL DRY FORESTS_TROPICAL DRY FORESTS,-0.213048537,0.077868887,45,-2.89E-16,avg_sylls_upper_freq_Hz,0.089347567
GREAT PLAINS_GREAT PLAINS,-0.18153621,4.99307167616582e-154,11628,5.03747154615405e-17,avg_sylls_lower_freq_Hz,1.59778293637306e-152
GREAT PLAINS_MARINE WEST COAST FOREST,-0.038705395,1.11439306489091e-15,31671,5.03747154615405e-17,avg_sylls_lower_freq_Hz,2.4733704824234e-15
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,-0.092065859,3.93897442018198e-88,31518,5.03747154615405e-17,avg_sylls_lower_freq_Hz,3.91180907935314e-87
GREAT PLAINS_NORTH AMERICAN DESERTS,-0.048733214,2.18447507137983e-17,22338,5.03747154615405e-17,avg_sylls_lower_freq_Hz,5.15679361112614e-17
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,0.096253282,5.74850446690617e-55,25398,5.03747154615405e-17,avg_sylls_lower_freq_Hz,2.85442980425686e-54
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,0.14250854,1.74327927444144e-63,13158,5.03747154615405e-17,avg_sylls_lower_freq_Hz,1.09144441530247e-62
GREAT PLAINS_TEMPERATE SIERRAS,-0.012026478,0.056056491,16983,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.066165038
GREAT PLAINS_TROPICAL DRY FORESTS,-0.092109686,2.27051716176778e-06,1530,5.03747154615405e-17,avg_sylls_lower_freq_Hz,3.30257041711678e-06
