"Pair","Mean_Residual_Between","Mean_Residual_Within","T_test_pval","n","Feature","P_value_adj"
"EASTERN TEMPERATE FORESTS_GREAT PLAINS",0.051964285404431,-0.00770212617436575,1.21909836660465e-157,184000,"avg_sylls_upper_freq_Hz",1.46291803992558e-156
"EASTERN TEMPERATE FORESTS_NORTHERN FORESTS",-0.000339558631048975,-0.00770212617436575,0.00152895230675808,160000,"avg_sylls_upper_freq_Hz",0.00229342846013712
"EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS",-0.0203045846202119,-0.00770212617436575,0.0577294035467121,17600,"avg_sylls_upper_freq_Hz",0.0629775311418678
"GREAT PLAINS_NORTHERN FORESTS",0.00996460783229485,-0.00770212617436575,0.0308952542747074,11500,"avg_sylls_upper_freq_Hz",0.0361700537850233
"GREAT PLAINS_TROPICAL WET FORESTS",0.338107105088982,-0.00770212617436575,9.83804076100818e-19,1265,"avg_sylls_upper_freq_Hz",2.95141222830245e-18
"NORTHERN FORESTS_TROPICAL WET FORESTS",0.226872235168964,-0.00770212617436575,3.9806567235793e-12,1100,"avg_sylls_upper_freq_Hz",9.09864393960982e-12
"EASTERN TEMPERATE FORESTS_GREAT PLAINS",-0.0206937770785579,0.0133769500194442,1.18101651904704e-57,184000,"avg_sylls_lower_freq_Hz",8.0983989877511e-57
"EASTERN TEMPERATE FORESTS_NORTHERN FORESTS",-0.0825765387016625,0.0133769500194442,0,160000,"avg_sylls_lower_freq_Hz",0
"EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS",0.0015935766997012,0.0133769500194442,0.062304208342235,17600,"avg_sylls_lower_freq_Hz",0.0664578222317173
"GREAT PLAINS_NORTHERN FORESTS",-0.0523244955303051,0.0133769500194442,7.33579748993763e-18,11500,"avg_sylls_lower_freq_Hz",2.07128399715886e-17
"GREAT PLAINS_TROPICAL WET FORESTS",0.180784907447592,0.0133769500194442,1.32787221679789e-08,1265,"avg_sylls_lower_freq_Hz",2.54951465625194e-08
"NORTHERN FORESTS_TROPICAL WET FORESTS",0.0895100076232414,0.0133769500194442,0.00500415419298358,1100,"avg_sylls_lower_freq_Hz",0.00649187570981653
"EASTERN TEMPERATE FORESTS_GREAT PLAINS",0.0214827390671011,-0.00124753166403213,1.65668715875369e-26,184000,"max_sylls_freq_Hz",5.68007025858407e-26
"EASTERN TEMPERATE FORESTS_NORTHERN FORESTS",-0.00621678831380992,-0.00124753166403213,0.0253451444880377,160000,"max_sylls_freq_Hz",0.0304141733856452
"EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS",-0.0839515344770937,-0.00124753166403213,2.77355073330505e-38,17600,"max_sylls_freq_Hz",1.33130435198643e-37
"GREAT PLAINS_NORTHERN FORESTS",0.00191613850206951,-0.00124753166403213,0.685212011715301,11500,"max_sylls_freq_Hz",0.699790990687967
"GREAT PLAINS_TROPICAL WET FORESTS",0.114822285985729,-0.00124753166403213,0.0003671601799304,1265,"max_sylls_freq_Hz",0.000568506085053522
"NORTHERN FORESTS_TROPICAL WET FORESTS",-0.034193332017803,-0.00124753166403213,0.221103015035771,1100,"max_sylls_freq_Hz",0.230716189602543
"EASTERN TEMPERATE FORESTS_GREAT PLAINS",0.0290643299845354,-0.000768135229531542,1.61096734011894e-40,184000,"min_sylls_freq_Hz",8.5918258139677e-40
"EASTERN TEMPERATE FORESTS_NORTHERN FORESTS",-0.0329368154356672,-0.000768135229531542,8.10003233234768e-46,160000,"min_sylls_freq_Hz",4.86001939940861e-45
"EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS",0.0152403662074508,-0.000768135229531542,0.0123577345094968,17600,"min_sylls_freq_Hz",0.0156097699067328
"GREAT PLAINS_NORTHERN FORESTS",0.0396298389416784,-0.000768135229531542,1.04447664525015e-06,11500,"min_sylls_freq_Hz",1.85684736933359e-06
"GREAT PLAINS_TROPICAL WET FORESTS",0.00753047704487995,-0.000768135229531542,0.720466237102748,1265,"min_sylls_freq_Hz",0.720466237102748
"NORTHERN FORESTS_TROPICAL WET FORESTS",0.163665758982464,-0.000768135229531542,3.27413942339781e-09,1100,"min_sylls_freq_Hz",6.54827884679563e-09
"EASTERN TEMPERATE FORESTS_GREAT PLAINS",0.022776682325294,-0.00510651623978427,2.65720139576149e-37,184000,"overall_sylls_freq_range_Hz",1.15950606360501e-36
"EASTERN TEMPERATE FORESTS_NORTHERN FORESTS",0.0222232517809264,-0.00510651623978427,2.48250166949351e-31,160000,"overall_sylls_freq_range_Hz",9.16616001043757e-31
"EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS",-0.0793622694804665,-0.00510651623978427,8.94512615419673e-32,17600,"overall_sylls_freq_range_Hz",3.57805046167869e-31
"GREAT PLAINS_NORTHERN FORESTS",0.0196211805879293,-0.00510651623978427,0.00320492892301389,11500,"overall_sylls_freq_range_Hz",0.00439533109441905
"GREAT PLAINS_TROPICAL WET FORESTS",0.082661977284367,-0.00510651623978427,0.00282497308356066,1265,"overall_sylls_freq_range_Hz",0.00398819729443857
"NORTHERN FORESTS_TROPICAL WET FORESTS",-0.0807072420976733,-0.00510651623978427,0.00266974640418978,1100,"overall_sylls_freq_range_Hz",0.00388326749700332
"EASTERN TEMPERATE FORESTS_GREAT PLAINS",0.0388948167981351,-0.0125717933877625,3.44644909787022e-122,184000,"largest_sylls_freq_range_Hz",2.75715927829618e-121
"EASTERN TEMPERATE FORESTS_NORTHERN FORESTS",0.0484626429667071,-0.0125717933877625,1.61940690958969e-147,160000,"largest_sylls_freq_range_Hz",1.5546306332061e-146
"EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS",0.0321061523649996,-0.0125717933877625,6.44106618051303e-11,17600,"largest_sylls_freq_range_Hz",1.40532353029375e-10
"GREAT PLAINS_NORTHERN FORESTS",0.0561090693675162,-0.0125717933877625,8.14380703250423e-16,11500,"largest_sylls_freq_range_Hz",2.05738282926423e-15
"GREAT PLAINS_TROPICAL WET FORESTS",0.139585448282671,-0.0125717933877625,4.30211656211841e-08,1265,"largest_sylls_freq_range_Hz",7.94236903775706e-08
"NORTHERN FORESTS_TROPICAL WET FORESTS",-0.0639993670636877,-0.0125717933877625,0.0500823543622033,1100,"largest_sylls_freq_range_Hz",0.0559058839392037
"EASTERN TEMPERATE FORESTS_GREAT PLAINS",0.0161414685780406,0.00670276084961339,6.32871466556246e-06,184000,"smallest_sylls_freq_range_Hz",1.04751139292068e-05
