Ecoregion,Feature,Mantel_r,P_value,n,P_value_FDR
EASTERN TEMPERATE FORESTS,avg_sylls_upper_freq_Hz,0.033367599,0.001,1600,0.032
GREAT PLAINS,avg_sylls_upper_freq_Hz,0.120298085,0.014,115,0.1
NORTHERN FORESTS,avg_sylls_upper_freq_Hz,-0.049571295,0.776,100,0.856275862
TROPICAL WET FORESTS,avg_sylls_upper_freq_Hz,0.48352497,0.016,11,0.1
EASTERN TEMPERATE FORESTS,avg_sylls_lower_freq_Hz,-0.017362562,0.938,1600,0.938
GREAT PLAINS,avg_sylls_lower_freq_Hz,0.002344339,0.429,115,0.596869565
NORTHERN FORESTS,avg_sylls_lower_freq_Hz,0.08298872,0.095,100,0.270769231
TROPICAL WET FORESTS,avg_sylls_lower_freq_Hz,0.323902117,0.022,11,0.1
EASTERN TEMPERATE FORESTS,max_sylls_freq_Hz,0.006138261,0.251,1600,0.422736842
GREAT PLAINS,max_sylls_freq_Hz,0.095446334,0.02,115,0.1
NORTHERN FORESTS,max_sylls_freq_Hz,0.086550705,0.11,100,0.270769231
TROPICAL WET FORESTS,max_sylls_freq_Hz,0.21798974,0.109,11,0.270769231
EASTERN TEMPERATE FORESTS,min_sylls_freq_Hz,-0.002163159,0.558,1600,0.71424
GREAT PLAINS,min_sylls_freq_Hz,0.029717372,0.235,115,0.417777778
NORTHERN FORESTS,min_sylls_freq_Hz,0.039766044,0.217,100,0.417777778
TROPICAL WET FORESTS,min_sylls_freq_Hz,0.245282042,0.058,11,0.1856
EASTERN TEMPERATE FORESTS,overall_sylls_freq_range_Hz,0.000444983,0.489,1600,0.652
GREAT PLAINS,overall_sylls_freq_range_Hz,0.104529645,0.008,115,0.085333333
NORTHERN FORESTS,overall_sylls_freq_range_Hz,0.125957118,0.032,100,0.113777778
TROPICAL WET FORESTS,overall_sylls_freq_range_Hz,-0.058428067,0.582,11,0.716307692
EASTERN TEMPERATE FORESTS,largest_sylls_freq_range_Hz,-0.00416507,0.628,1600,0.729142857
GREAT PLAINS,largest_sylls_freq_range_Hz,0.015466093,0.35,115,0.533333333
NORTHERN FORESTS,largest_sylls_freq_range_Hz,0.059380368,0.14,100,0.32
TROPICAL WET FORESTS,largest_sylls_freq_range_Hz,0.000953507,0.423,11,0.596869565
EASTERN TEMPERATE FORESTS,smallest_sylls_freq_range_Hz,0.006995329,0.234,1600,0.417777778
GREAT PLAINS,smallest_sylls_freq_range_Hz,0.101200626,0.008,115,0.085333333
NORTHERN FORESTS,smallest_sylls_freq_range_Hz,0.02232253,0.301,100,0.4816
TROPICAL WET FORESTS,smallest_sylls_freq_range_Hz,-0.225912106,0.93,11,0.938
EASTERN TEMPERATE FORESTS,avg_sylls_freq_range_Hz,-0.004226165,0.638,1600,0.729142857
GREAT PLAINS,avg_sylls_freq_range_Hz,0.097234581,0.025,115,0.1
NORTHERN FORESTS,avg_sylls_freq_range_Hz,-0.079303168,0.931,100,0.938
TROPICAL WET FORESTS,avg_sylls_freq_range_Hz,0.118264503,0.217,11,0.417777778
