Ecoregion,Feature,Mantel_r,P_value,n,P_value_FDR
GREAT PLAINS,avg_sylls_upper_freq_Hz,0.070563104,0.077,153,0.250181818
MARINE WEST COAST FOREST,avg_sylls_upper_freq_Hz,0.114119162,0.017,207,0.181333333
MEDITERRANEAN CALIFORNIA,avg_sylls_upper_freq_Hz,0.006271301,0.361,206,0.516085106
NORTH AMERICAN DESERTS,avg_sylls_upper_freq_Hz,-0.033747164,0.82,146,0.904827586
NORTHWESTERN FORESTED MOUNTAINS,avg_sylls_upper_freq_Hz,-0.002557044,0.527,166,0.636377358
SOUTHERN SEMIARID HIGHLANDS,avg_sylls_upper_freq_Hz,-0.028219458,0.878,86,0.917677419
TEMPERATE SIERRAS,avg_sylls_upper_freq_Hz,0.020906874,0.265,111,0.458105263
TROPICAL DRY FORESTS,avg_sylls_upper_freq_Hz,0.062336724,0.312,10,0.480744186
GREAT PLAINS,avg_sylls_lower_freq_Hz,0.049856665,0.162,153,0.3456
MARINE WEST COAST FOREST,avg_sylls_lower_freq_Hz,-0.004371486,0.483,207,0.594461538
MEDITERRANEAN CALIFORNIA,avg_sylls_lower_freq_Hz,0.01791657,0.186,206,0.384
NORTH AMERICAN DESERTS,avg_sylls_lower_freq_Hz,0.073085002,0.043,146,0.221538462
NORTHWESTERN FORESTED MOUNTAINS,avg_sylls_lower_freq_Hz,0.004090165,0.423,166,0.55168
SOUTHERN SEMIARID HIGHLANDS,avg_sylls_lower_freq_Hz,0.054652474,0.045,86,0.221538462
TEMPERATE SIERRAS,avg_sylls_lower_freq_Hz,0.028153063,0.156,111,0.3456
TROPICAL DRY FORESTS,avg_sylls_lower_freq_Hz,-0.139867587,0.944,10,0.956
GREAT PLAINS,max_sylls_freq_Hz,0.108039132,0.026,153,0.208
MARINE WEST COAST FOREST,max_sylls_freq_Hz,0.063087248,0.058,207,0.227555556
MEDITERRANEAN CALIFORNIA,max_sylls_freq_Hz,0.00038232,0.442,206,0.554666667
NORTH AMERICAN DESERTS,max_sylls_freq_Hz,0.018426522,0.284,146,0.466051282
NORTHWESTERN FORESTED MOUNTAINS,max_sylls_freq_Hz,0.183716561,0.001,166,0.032
SOUTHERN SEMIARID HIGHLANDS,max_sylls_freq_Hz,-0.022227998,0.737,86,0.842285714
TEMPERATE SIERRAS,max_sylls_freq_Hz,0.055783444,0.062,111,0.227555556
TROPICAL DRY FORESTS,max_sylls_freq_Hz,0.157743908,0.157,10,0.3456
GREAT PLAINS,min_sylls_freq_Hz,0.07482561,0.064,153,0.227555556
MARINE WEST COAST FOREST,min_sylls_freq_Hz,-0.026037246,0.684,207,0.795927273
MEDITERRANEAN CALIFORNIA,min_sylls_freq_Hz,0.035021793,0.049,206,0.224
NORTH AMERICAN DESERTS,min_sylls_freq_Hz,0.03039777,0.211,146,0.391314286
NORTHWESTERN FORESTED MOUNTAINS,min_sylls_freq_Hz,0.013822784,0.293,166,0.4688
SOUTHERN SEMIARID HIGHLANDS,min_sylls_freq_Hz,0.067232896,0.038,86,0.221538462
TEMPERATE SIERRAS,min_sylls_freq_Hz,0.031942774,0.208,111,0.391314286
TROPICAL DRY FORESTS,min_sylls_freq_Hz,-0.271418588,0.868,10,0.917677419
GREAT PLAINS,overall_sylls_freq_range_Hz,0.096163462,0.044,153,0.221538462
MARINE WEST COAST FOREST,overall_sylls_freq_range_Hz,0.023311398,0.231,207,0.410666667
MEDITERRANEAN CALIFORNIA,overall_sylls_freq_range_Hz,0.016856408,0.197,206,0.391314286
NORTH AMERICAN DESERTS,overall_sylls_freq_range_Hz,0.053582191,0.106,146,0.282666667
NORTHWESTERN FORESTED MOUNTAINS,overall_sylls_freq_range_Hz,0.229544369,0.001,166,0.032
SOUTHERN SEMIARID HIGHLANDS,overall_sylls_freq_range_Hz,-0.030553818,0.793,86,0.890385965
TEMPERATE SIERRAS,overall_sylls_freq_range_Hz,0.0457333,0.086,111,0.250181818
TROPICAL DRY FORESTS,overall_sylls_freq_range_Hz,0.069123453,0.317,10,0.480744186
GREAT PLAINS,largest_sylls_freq_range_Hz,0.043275727,0.138,153,0.3456
MARINE WEST COAST FOREST,largest_sylls_freq_range_Hz,0.043811719,0.146,207,0.3456
MEDITERRANEAN CALIFORNIA,largest_sylls_freq_range_Hz,0.005416767,0.379,206,0.516085106
NORTH AMERICAN DESERTS,largest_sylls_freq_range_Hz,-0.06651343,0.956,146,0.956
NORTHWESTERN FORESTED MOUNTAINS,largest_sylls_freq_range_Hz,0.049927303,0.02,166,0.182857143
SOUTHERN SEMIARID HIGHLANDS,largest_sylls_freq_range_Hz,0.01318178,0.323,86,0.480744186
TEMPERATE SIERRAS,largest_sylls_freq_range_Hz,0.078718257,0.017,111,0.181333333
TROPICAL DRY FORESTS,largest_sylls_freq_range_Hz,-0.243045015,0.849,10,0.917677419
GREAT PLAINS,smallest_sylls_freq_range_Hz,0.075602916,0.063,153,0.227555556
MARINE WEST COAST FOREST,smallest_sylls_freq_range_Hz,-0.001295876,0.431,207,0.55168
MEDITERRANEAN CALIFORNIA,smallest_sylls_freq_range_Hz,0.004331588,0.392,206,0.522666667
NORTH AMERICAN DESERTS,smallest_sylls_freq_range_Hz,0.011503786,0.372,146,0.516085106
NORTHWESTERN FORESTED MOUNTAINS,smallest_sylls_freq_range_Hz,0.07907489,0.003,166,0.064
SOUTHERN SEMIARID HIGHLANDS,smallest_sylls_freq_range_Hz,0.030751608,0.156,86,0.3456
TEMPERATE SIERRAS,smallest_sylls_freq_range_Hz,0.019272068,0.272,111,0.458105263
TROPICAL DRY FORESTS,smallest_sylls_freq_range_Hz,0.204076168,0.083,10,0.250181818
GREAT PLAINS,avg_sylls_freq_range_Hz,0.0354583,0.214,153,0.391314286
MARINE WEST COAST FOREST,avg_sylls_freq_range_Hz,0.063917411,0.098,207,0.272695652
MEDITERRANEAN CALIFORNIA,avg_sylls_freq_range_Hz,0.004397126,0.371,206,0.516085106
NORTH AMERICAN DESERTS,avg_sylls_freq_range_Hz,-0.014312446,0.642,146,0.760888889
NORTHWESTERN FORESTED MOUNTAINS,avg_sylls_freq_range_Hz,0.064850546,0.004,166,0.064
SOUTHERN SEMIARID HIGHLANDS,avg_sylls_freq_range_Hz,0.063479589,0.031,86,0.220444444
TEMPERATE SIERRAS,avg_sylls_freq_range_Hz,0.055903984,0.086,111,0.250181818
TROPICAL DRY FORESTS,avg_sylls_freq_range_Hz,-0.253930331,0.889,10,0.917677419
