Ecoregion,Feature,SampleSize,Mantel_r_obs,Mean_r_null,SD_r_null,P_value,P_value_adj
EASTERN TEMPERATE FORESTS,avg_sylls_upper_freq_Hz,1600,0.033367599,0.031634956,0.004741416,0.366366366,0.535808536
GREAT PLAINS,avg_sylls_upper_freq_Hz,115,0.120298085,0.030315343,0.050285415,0.046046046,0.163719275
NORTHERN FORESTS,avg_sylls_upper_freq_Hz,100,-0.049571295,0.028757338,0.053972961,0.941941942,0.965965966
TROPICAL WET FORESTS,avg_sylls_upper_freq_Hz,11,0.48352497,0.025183056,0.185356706,0.026026026,0.123552124
EASTERN TEMPERATE FORESTS,avg_sylls_lower_freq_Hz,1600,-0.017362562,-0.010683699,0.00422036,0.940940941,0.965965966
GREAT PLAINS,avg_sylls_lower_freq_Hz,115,0.002344339,-0.008461002,0.043932074,0.396396396,0.55150803
NORTHERN FORESTS,avg_sylls_lower_freq_Hz,100,0.08298872,-0.007951502,0.046179869,0.035035035,0.14014014
TROPICAL WET FORESTS,avg_sylls_lower_freq_Hz,11,0.323902117,0.005716856,0.189001127,0.067067067,0.198016198
EASTERN TEMPERATE FORESTS,max_sylls_freq_Hz,1600,0.006138261,0.000589394,0.003639078,0.068068068,0.198016198
GREAT PLAINS,max_sylls_freq_Hz,115,0.095446334,-0.000369486,0.038196191,0.01001001,0.083283283
NORTHERN FORESTS,max_sylls_freq_Hz,100,0.086550705,0.001278992,0.040974745,0.027027027,0.123552124
TROPICAL WET FORESTS,max_sylls_freq_Hz,11,0.21798974,0.008034204,0.171653777,0.118118118,0.26998427
EASTERN TEMPERATE FORESTS,min_sylls_freq_Hz,1600,-0.002163159,-0.000221424,0.003931481,0.692692693,0.852544853
GREAT PLAINS,min_sylls_freq_Hz,115,0.029717372,0.000882515,0.042807107,0.248248248,0.441330219
NORTHERN FORESTS,min_sylls_freq_Hz,100,0.039766044,0.00062437,0.045029112,0.188188188,0.376376376
TROPICAL WET FORESTS,min_sylls_freq_Hz,11,0.245282042,-0.002563423,0.175700525,0.09009009,0.24024024
EASTERN TEMPERATE FORESTS,overall_sylls_freq_range_Hz,1600,0.000444983,-0.003715911,0.004095942,0.154154154,0.328862196
GREAT PLAINS,overall_sylls_freq_range_Hz,115,0.104529645,-0.002443849,0.041380741,0.009009009,0.083283283
NORTHERN FORESTS,overall_sylls_freq_range_Hz,100,0.125957118,-0.001385105,0.048056935,0.011011011,0.083283283
TROPICAL WET FORESTS,overall_sylls_freq_range_Hz,11,-0.058428067,0.005141102,0.174467963,0.56956957,0.729049049
EASTERN TEMPERATE FORESTS,largest_sylls_freq_range_Hz,1600,-0.00416507,-0.001374217,0.004144989,0.755755756,0.895710525
GREAT PLAINS,largest_sylls_freq_range_Hz,115,0.015466093,-0.000160174,0.043258168,0.348348348,0.535808536
NORTHERN FORESTS,largest_sylls_freq_range_Hz,100,0.059380368,0.00054981,0.045289377,0.101101101,0.248864249
TROPICAL WET FORESTS,largest_sylls_freq_range_Hz,11,0.000953507,0.001225501,0.177779608,0.423423423,0.564564565
EASTERN TEMPERATE FORESTS,smallest_sylls_freq_range_Hz,1600,0.006995329,0.011278859,0.003470754,0.901901902,0.965965966
GREAT PLAINS,smallest_sylls_freq_range_Hz,115,0.101200626,0.011300949,0.036381856,0.011011011,0.083283283
NORTHERN FORESTS,smallest_sylls_freq_range_Hz,100,0.02232253,0.011073232,0.038546109,0.368368368,0.535808536
TROPICAL WET FORESTS,smallest_sylls_freq_range_Hz,11,-0.225912106,0.00807991,0.168845174,0.965965966,0.965965966
EASTERN TEMPERATE FORESTS,avg_sylls_freq_range_Hz,1600,-0.004226165,-0.006946472,0.004283591,0.268268268,0.451820241
GREAT PLAINS,avg_sylls_freq_range_Hz,115,0.097234581,-0.009908721,0.043589146,0.013013013,0.083283283
NORTHERN FORESTS,avg_sylls_freq_range_Hz,100,-0.079303168,-0.007157268,0.048089864,0.93993994,0.965965966
TROPICAL WET FORESTS,avg_sylls_freq_range_Hz,11,0.118264503,-0.004386333,0.175847233,0.211211211,0.397574045
